                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.3276,                 1.1019,                  1.297,                0.65421,                 0.4422,                0.49295,                0.26621,                 1.5698,                 1.4398,                 1.5275,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.3473,                 1.1374,                  1.305,                0.67036,                0.41561,                0.46728,                0.26668,                  1.561,                  1.353,                 1.6068,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.3298,                 1.0777,                 1.3051,                0.68394,                0.48286,                0.53009,                0.29184,                 1.5269,                 1.2788,                 1.5211,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.3312,                  1.098,                 1.2816,                0.68906,                0.50659,                0.53246,                0.28909,                 1.5298,                 1.3236,                 1.5863,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.3103,                 1.0662,                 1.2787,                0.67093,                 0.4511,                0.48769,                0.27024,                 1.6063,                 1.3647,                 1.6001,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.3123,                 1.0598,                 1.2735,                0.64442,                0.48512,                0.49919,                0.27372,                 1.4933,                 1.3396,                 1.5016,             0.00062729,             0.00062729,             0.00062729
                     65,                  1.308,                 1.0736,                  1.282,                0.69358,                0.46112,                0.49655,                0.25495,                 1.5432,                 1.3778,                  1.536,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.3023,                 1.0663,                  1.267,                0.67424,                 0.4122,                0.47352,                0.25614,                 1.5656,                 1.4222,                 1.6177,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.296,                 1.0622,                 1.2777,                0.60173,                0.48923,                0.52401,                0.29006,                 1.5511,                 1.3255,                 1.5769,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.3042,                 1.0376,                 1.2818,                  0.625,                0.51785,                0.51946,                0.29045,                 1.5348,                 1.3079,                 1.5717,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.2917,                  1.031,                 1.2722,                0.62136,                0.51091,                0.51779,                0.27702,                 1.6352,                 1.2685,                 1.6377,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.2459,                 1.0154,                 1.2461,                0.56814,                0.50688,                0.51485,                 0.2892,                 1.5306,                  1.289,                 1.4894,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.2633,                 1.0055,                 1.2502,                0.66321,                0.46092,                0.49516,                0.27077,                 1.6056,                 1.2708,                 1.6388,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.2791,                 1.0302,                 1.2578,                0.66313,                0.49286,                0.48859,                0.26625,                 1.5533,                 1.2227,                 1.5842,             0.00049527,             0.00049527,             0.00049527
                     73,                  1.279,                 1.0107,                 1.2523,                0.68378,                0.45742,                0.51431,                0.27392,                 1.5329,                 1.2009,                 1.5782,             0.00047876,             0.00047876,             0.00047876
                     74,                  1.274,                 1.0099,                 1.2428,                0.66791,                0.51511,                0.53832,                0.29171,                 1.5515,                 1.1503,                 1.5922,             0.00046226,             0.00046226,             0.00046226
